Nifty 50 vs Nykaa Share price,,
,,
Timeline,Nifty Closing Price(Black;Dotted),NYKAA Closing Price(Pink;Solid)
Apr-22,17000,280
May-22,16500,250
Jun-22,15000,240
Jul-22,17000,240
Aug-22,17500,240
Sep-22,17000,200
Oct-22,18000,180
Nov-22,19000,160
Dec-22,18000,140
Jan-23,18500,125
Feb-23,17500,125
Mar-23,17500,115
