LPL Share prive vs NSE Nifty,,
,,
Timeline,LPL (close) (Yellow),Nifty(Close)(Blue)
Apr-22,100,100
May-22,105,95
Jun-22,80,90
Jul-22,80,90
Aug-22,90,95
Sep-22,100,100
Oct-22,95,100
Nov-22,100,100
Dec-22,95,95
Jan-22,90,80
Feb-22,85,75
Mar-22,80,70
