Timeline,Nifty Close(Blue),AACL Close(Grey)
Apr-22,17000,3250
May-22,16500,2800
Jun-22,15750,2600
Jul-22,17250,3100
Aug-22,17750,3100
Sep-22,17250,3100
Oct-22,18000,3100
Nov-22,18750,2750
Dec-22,18000,2750
Jan-23,17750,2500
Feb-23,17250,2100
Mar-23,17250,2000
